imdbId,title,releaseYear,releaseDate,genre,writers,actor_id,actors,director_id,directors,sequel,hitFlop
tt0327071,Om Jai Jagadish,2002,8-Jul-02,Drama | Musical,Rumi Jaffery (dialogue) | Rahul Nanda,470,Genelia D'Souza,98,Robby Grewal,0,1
tt0328503,Taj Mahal: An Eternal Love Story,2005,1-May-06,Drama | Musical | Romance,Mohafiz Hyder (dialogue) | Akbar Khan | Fatima Meer (script) | Rajeev Mirza (dialogue),471,Isha Koppikar,99,Hriday Shetty,0,1
tt0328671,Yeh Hai Jalwa,2002,3-Jul-02,Comedy | Drama | Romance,Rumi Jaffery (dialogue) | Imtiaz Patel (screenplay) | Imtiaz Patel (story) | Yunus Sajawal (screenplay) | Yunus Sajawal (story),472,Soha Ali Khan,100,Anant Balani,0,2
tt0328729,Dil Maange More!!!,2004,31-Dec-04,Romance,Kiran Kotrial (additional dialogue) | Anant Mahadevan (story) | Javed Siddiqui (dialogue) | Javed Siddiqui (screenplay),473,Johnny Lever,101,Kabeer Kaushik,0,2
tt0328998,Dil Hai Tumhaara,2002,6-Sep-02,Drama | Family | Romance,Rajkumar Santoshi (screenplay) | Rajkumar Santoshi (story) | Kundan Shah (screenplay) | Subrat Sinha (dialogue),474,Ayesha Takia,102,Amol Shetge,0,3
tt0329620,Soch,2002,23-Aug-02,Thriller,Sushen Bhatnagar (screenplay) | Atul Tiwari (dialogue),475,Tia Bajpai,103,Pankaj Parashar,0,1
tt0330082,Boom,2003,19-Sep-03,Action | Crime | Mystery,Kaizad Gustad,476,Nasser,104,N/A,0,2
tt0330217,Dil Ka Rishta,2003,17-Jan-03,Romance,Shabbir Boxwala | Vrinda Rai (story) | Naeem Sha (dialogue),477,Saurabh Shukla,105,Rajiv S. Ruia,0,2
tt0330783,Pran Jaaye Par Shaan Na Jaaye,2003,2-May-03,Drama | Comedy,Mahesh Manjrekar (screenplay) | Sanjay Pawar (dialogue) | Sanjay Pawar (story),478,Konkona Sen Sharma,106,Ashu Trikha,0,1
tt0330843,Saathiya,2002,20-Dec-02,Drama | Romance,Mani Ratnam (story) | Gulzar (dialogue),479,Ameesha Patel,107,Tanuja Chandra,0,5
